,Raw Job Description
113,"As a Finance Analyst you play a pivotal role in ensuring the accuracy and integrity of Telstra's financial reporting, to enable effective decision-making by wider business and finance stakeholders through delivering timely and insightful analysis.

You will leverage your critical and analytical thinking capabilities to reimagine existing accounting and assurance processes; challenge the status quo to innovate and utilise tools the improve our operational efficiency.

You will act as a business partner to collaborate with our internal and external business, IT and finance stakeholders to improve transparency and uplift self-serve capabilities.

Key responsibilities of your role:
- Monthly accounting and assurance reporting and analysis: completion of P&L and Balance Sheet assurance activities including producing timely, relevant and accurate reporting and analysis to proactively manage financials; balance sheet reconciliations and open item management, with a focus to insights into actions
- Monthly GST / BAS reporting, analysis and reconciliation: support Telstra's monthly BAS submission to the ATO including review of revenue, expense and subsidiary transactions to ensure accurate reporting and compliance with relevant Taxation Laws; proactively manage manual adjustments and open item management, with a focus on increasing assurance and control environment uplift
- End-to-end management of Lease Accounting: lead the record to report process of non-property lease accounting across Telstra, owning Telstra's lease management tool, and working across multiple business units, working with onshore finance stakeholders and offshore partners and conducting exception analysis to produce timely, relevant and accurate reporting and analysis
- Strategic / Operational initiatives: support various strategic and operational initiatives (e.g. reconciliation uplift and Blackline automation)
- Stakeholder Collaboration: partner with various stakeholders including offshore partners, finance and IT to ensure alignment and provide financial/accounting support for projects and ongoing financial management
- Compliance and Governance: support audit and governance related activities. Ensure that all accounting practices comply with relevant laws, regulations, and internal policies, maintaining strong internal controls and governance.To be successful in the role, you should have:
- Collaboration, business partnering and stakeholder management
- In-depth technical accounting and tax experience, including knowledge of accounting principles and practices ·
- Experience in financial systems and IT tools/processes to opticpamise data analysis, transformation and reporting
- Knowledge of controls, QA and governance frameworks
- Continuous improvement mindset
- Hold a Degree in Accounting
- Chartered Accountants or Certified Public Accountant and preferred Big 4 or mid-tier accounting/audit experienceWe fully embrace flexibility and choice at Telstra and it's as unique as you. We believe every role can flex in some way and encourage you to work where, when, and how you are most engaged, safe, and productive. Talk to us about how a role could be flexible for you!

If this opportunity sounds like a perfect fit for you, we'd encourage you to apply!

____________________________

We're committed to building a diverse and inclusive workforce in all its forms. We encourage applicants from diverse gender, cultural and linguistic backgrounds and applicants who may be living with a disability. We also offer flexibility in all our roles, to ensure everyone can participate.

To learn more about how we support our people, including accessibility adjustments we can provide you through the recruitment process, visit tel.st/thrive."
114,"We are looking for an Analyst (Math) to join our team to train AI models. You will measure the progress of these AI chatbots, evaluate their logic, and solve problems to improve the quality of each model.

In this role you will need to hold an expert level of mathematical reasoning. Other related fields include, but are not limited to: Applied Math and/or Computer Science.

Benefits

- This is a full-time or part-time REMOTE position
- You’ll be able to choose which projects you want to work on
- You can work on your own schedule
- Projects are paid hourly starting at $40+ USD per hour, with bonuses on high-quality and high-volume work

Responsibilities

- Give AI chatbots writing and editing tasks and evaluate their outputs
- Evaluate the quality produced by AI models for correctness and performance

Qualifications

- Fluency in English (native or bilingual level)
- Detail-oriented
- Proficient in arithmetic, algebra, geometry, calculus, probability, statistics, and inductive/deductive reasoning
- A completed or in progress Masters/PhD is preferred but not required

Notes

Payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. Only applicants in Australia will be considered for this role. This is an independent contract position.

#math"
115,"Dogs, cats, budgies and everything in between - pets deserve the world. They make us want to be better humans. That’s why we’ve made it our mission to build the most engaged and passionate community of pets and pet parents across the world. And we’re looking for talented team mates who can help us do it.

Founded in Sydney, our team of 500+ pet obsessives span Australia, New Zealand and the Philippines. We’ve scaled to become one of Australia's top five eComm companies and the no.1 online pet store. But we’re just getting started. Like a whippet who’s spotted their mate across the dog park, our growth is only going to accelerate, as we continue to disrupt the way that pet parents shop.

Excitingly, the pet industry is booming (as in $15 billion kind of booming) and online pet retail is set to grow exponentially in the next five years. So this is a unique career opportunity to be part of our epic growth story.

The opportunity

Data Analysts at Pet Circle are problem-solvers who provide rapid, reliable insights that drive data-informed decisions across the business. Working exclusively within our governed business data environment, you'll use tools like BigQuery and Looker to deliver high-quality dashboards and fast answers to business questions.

At Pet Circle, we’ve built a governed, user-friendly data environment that allows Analysts to do what they do best - explore, analyse, and generate insights. You’ll be able to focus on answering business questions and uncovering opportunities, with the support of a strong engineering and data science team behind you.

This role is a 12 month FTC. There is potential for a permanent opportunity.

What You’ll Be Doing

- Using our Business Data Layer – Writing SQL queries against curated, governed datasets for consistent and trusted outputs.
- Writing and executing SQL in BigQuery Console – Running ad hoc queries quickly, using the web console (no IDEs or terminals).
- Leveraging Looker Explores – Knowing when and how to use each Explore effectively.
- Building insightful dashboards – Creating compelling, easy-to-use dashboards in Looker, using existing data without LookML development.
- Answering business questions – Providing timely, accurate responses to ad hoc data requests.
- Performing deeper analytics – Exploring drivers of trends and delivering actionable insights beyond dashboards.

Tools you’ll use

-  BigQuery Console - ad hoc SQL queries
-  Looker - data exploration and dashboards
-  Looker Studio - lightweight reporting

The ideal toolbox

- Advanced SQL: Write performant, accurate queries and self-validate outputs.
-  Looker (advanced user): Build dashboards, apply visual design best practice, debug performance issues.
-  Looker Studio: Build lightweight, interactive reports.
-  Basic LookML literacy: Understand structures and make safe model changes via Jenny automation (e.g. adding columns).
- Self-aware: Recognises limitations and knows when to seek help.
- Confident in core skills: Operates independently with SQL and Looker.
- Data curious: Always asks “why?” and explores trends in depth.
- Business-oriented: Produces insights that are timely, relevant, and actionable.

Role location

We believe that building connections and collaborating as Pet Circlers is super important. So this role is based in Sydney with a hybrid arrangement of 3 days per week in our pet friendly offices (your pet might love coming to the office even more than you). This is subject to change in line with business requirements.

Juicy perks

- Heaps of development opportunities - stretch projects, secondments and unlimited learning courses via Go1
- Flexible working environment
- Up to 50% employee discount
- Product sample giveaways
- Pawrental leave and wellbeing leave
- Team charity volunteer days
- Classpass subsidy

Why Join?

We Reckon Our Mission To Help The World Pet Better Is An Important One, But Also An Incredibly Fun And Rewarding One. Becoming a Pet Circler Means You’re Committed To Help Shape An Entire Industry - It’s Pretty Exciting Stuff. Here’s What We Stand For

- We're better together
- We operate with humble hearts and hungry minds
- Pets matter' so pets and pet parents always have a seat at our table
- We're instinctively curious. Always.

Belong at Pet Circle

Our unique perspectives and expertise is our superpower - we value diversity in all forms. So, no matter your background, please apply if this role makes you excited to bring your full self to work each day."
116,"Power up your career as a Systems Support Analyst
 

- Join a dynamic team dedicated to optimising software solutions for enhanced customer experience.

- Utilise your IT expertise to drive innovation and business improvement.

- Engage with stakeholders to implement effective strategies and improve operational efficiency.

- Enjoy competitive salary and a range of benefits designed for employee well-being and professional growth

About Shellharbour City Council
 
Shellharbour City Council is committed to delivering high-quality services to our community while fostering a sustainable environment. Our team strives for excellence and continuously seeks innovative solutions to meet the needs of our residents and stakeholders. 
We embrace a culture of collaboration and accountability, ensuring that every team member contributes to our goals. As part of our commitment to inclusivity, we celebrate the diversity of our community and empower our employees to reach their full potential.
 
Position Overview 
This role provides innovative solutions, maintenance and support to Council's Business Technology ERP systems including TechnologyOne's Software as a Service (SaaS).

The Systems Support Analyst is an integral part of Shellharbour City Councils Information Technology team which is a vibrant, dynamic and high performing group of professionals who continually aim to deliver customer first and customer focused technology outcomes.

Located in a state-of-the-art office building in the Shellharbour City Centre that provides access to exceptional facilities and a modern progressive office environment which promotes Collaboration and Innovation. The role provides the right person the opportunity to work with the latest and most modern technology and systems assisting in delivering innovative solutions to internal and external customers in a vibrant and dynamic technology environment.
Key Responsibilities
 

- Maintain corporate systems across Council, including Property and Rating (P&R), Financial, Enterprise Asset Management (EAM), Customer Request Management (CRM) and Electronic Document Management System (EDMS).

- Provide Level 1/2 troubleshooting support, resolving issues and offering workarounds to mitigate future incidents.

- Implement and maintain updates, patches and service packs to ensure software environments are supported effectively.

- Develop professional relationships with key stakeholders, including IT staff and third-party vendors.

- Identify opportunities to enhance business processes and workflows, contributing to overall efficiency.

- Assist with IT projects by managing planning, meetings, communication and reporting.

- Conduct training sessions and create materials to support the implementation of new business processes and information systems.

- Promote the adoption of new technologies and continuous improvement practices.

 
Candidate Profile
 
The ideal candidate will possess a strong background in Information Technology, complemented by relevant experience in software systems administration and customer service. You will have demonstrated skills in problem-solving, analytical thinking and effective communication.
 

- Degree in Information Technology or relevant accreditation.

- Experience in supporting and administering software systems within a large organisation.

- Proven ability to lead initiatives that enhance customer experience and drive business improvements.

- Strong interpersonal skills with a focus on collaboration and stakeholder engagement.

 
Knowledge of Local Government operations and familiarity with TechnologyOne One Council solutions will be advantageous. You should be proactive in seeking feedback and committed to continuous personal and professional development.
 
Salary & Benefits
 
The salary for this position ranges from $84,649 to $89,830, reflecting the skills and experience of the successful candidate. In addition to a supportive work environment, we offer a comprehensive benefits package that includes:
 

- Flexible working arrangements to promote work-life balance.

- Professional development opportunities to enhance your skills and career progression.

- Health and wellness programs to support your well-being.

- Employee recognition initiatives to celebrate your contributions.

 
If you are passionate about leveraging technology to improve services and enhance customer experiences, we encourage you to apply for the Systems Support Analyst position at Shellharbour City Council.
 
For further information about the position, click here for the position description.
 
Contact: Marcos Baez, Manager Information Technology on 4221 6027. 
 
Closing date: Sunday 12 October 2025 at 11:30pm.
 
Apply now...
Complete the application below by answering the questions, describing how your skills and experience are relevant to the position.  
Your Resume and qualifications can be attached on the NEXT page.
Once you start your online application, you may save and return to this later, however incomplete applications will not be considered. You may wish to prepare your responses in a word document and then COPY and PASTE into the fields below. Your Resume and qualifications can be attached on the NEXT page.
When you have submitted your application, an email confirmation will be sent to your nominated email address. Please ensure you have the correct email address and check your inbox (including your ""junk"" inbox). 
For further information about the selection process including tips on how to address the selection criteria, please view our Guide To Applying."
117,"Do you want your voice heard and your actions to count? 

Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), one of the world’s leading financial groups. Across the globe, we’re 150,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, building long-term relationships, serving society, and fostering shared and sustainable growth for a better world.

With a vision to be the world’s most trusted financial group, it’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. This means investing in talent, technologies, and tools that empower you to own your career.

Join MUFG, where being inspired is expected and making a meaningful impact is rewarded.

The CMG Analyst is responsible for assisting clients in accessing global debt markets across both bonds and loans products and is also responsible for the support of the senior originators in the CMG Sydney team

Capital Markets Mandate

- Develop a sustainable, client focused, flow oriented, primary markets origination business for MUFG clients in Oceania
- Develop value-added direct CMG client relationships with bond and loan issuer clients across Oceania.
- Work with relationship managers to develop/broaden the overall relationship with core clients by providing high quality support and product interface with regard to capital markets financing opportunities
- Origination of debt transactions for issuance into global capital markets

Your role in contributing to this mandate will be (where applicable):

- Deliver and grow a sustainable, client-focused, flow-oriented, primary and secondary business.
- Maximise profitability from leveraging and enhancing the Group’s customer franchise.
- Work in partnership with Sales, Trading and Research in MUFG to deliver products that meet the needs of our clients
- Collaborate with the relevant teams in other Group entities to advance the business globally.
- In all activities, protect and enhance the firm’s, and the Group’s, reputation. Working in partnership with other parts of the Group to deliver franchise and business growth.
- Expand the size and diversity of the client-base
- Conduct business in line with regulatory requirements (including Volcker, EMIR and MIFID).

Responsibilities include:

- Preparing high-quality pitchbooks and materials for client meetings and follow-ups
- Provide regular market and pricing updates for internal and external clients
- Perform analytical work for client funding or corporate requirements
- Proactively create trade ideas and new business proposals which meet our client’s needs
- React to client enquiries in a risk-sensitive manner, ensuring proposed solutions are appropriate for the client and meet the requirements of best execution.
- Engage and build relationship with client working level teams to ensure smooth execution
- Supporting team CMG deal lead in internal approvals process
- Ensure AML/KYC and compliance standards are met for all transactions
- Coordinate between all internal and external stakeholders and deal team members to ensure smooth execution from mandate to deal closing
- Deal execution aspects includes due diligence, structuring, documentation, ratings, investor marketing, roadshow planning, settlement, post-mortems
- Internal Reporting requirements (team lead working with CMG and local Planning teams)

Requirements

- 1 - 3 years work experience (experience in financial markets will be viewed upon favourably)
- Analytical background with strong attention to detail
- Resourceful and ‘can-do’ attitude with ability to work well with internal and external parties
- Good grasp of excel, word and powerpoint

Mitsubishi UFJ Financial Group (MUFG) is an equal opportunity employer. We view our employees as our key assets as they are fundamental to our long-term growth and success. MUFG is committed to hiring based on merit and organsational fit, regardless of race, religion or gender."
118,"Company Description

WNS (Holdings) Limited (NYSE: WNS), is a leading Business Process Management (BPM) company. We combine our deep industry knowledge with technology and analytics expertise to co-create innovative, digital-led transformational solutions with clients across 10 industries. We enable businesses in Travel, Insurance, Banking and Financial Services, Manufacturing, Retail and Consumer Packaged Goods, Shipping and Logistics, Healthcare, and Utilities to re-imagine their digital future and transform their outcomes with operational excellence.We deliver an entire spectrum of BPM services in finance and accounting, procurement, customer interaction services and human resources leveraging collaborative models that are tailored to address the unique business challenges of each client. We co-create and execute the future vision of 400+ clients with the help of our 44,000+ employees.

Job Description

This for Contract Extension of Haoran Yang (Kevin) U452120

Qualifications

NA"
119,"RPS is seeking a Data and Reporting Analyst to join our growing and vibrant Digital team, supporting data-driven project delivery for a range of government and corporate clients. This is a key opportunity to contribute to impactful digital transformation initiatives through intuitive, interactive and strategic data solutions.

As a Data and Reporting Analyst, you'll help our clients unlock the value of their data by designing, building and optimising business intelligence reports and dashboards that enable smart decision-making. You’ll work across a diverse range of digital projects and corporate applications, delivering new insights and enhancing existing systems.

Key Responsibilities

- Adept in developing, publishing and scheduling Power BI reports as per the business requirements.
- Proficient with inspecting, cleansing , transforming , and analysing raw data to discover useful information, inform conclusions, and support effective decision-making.
- Responsible for designing and building scalable data models and enabling advanced analytic capabilities that provide meaningful business value through easy-to-comprehend data visualizations.
- Ability to collaborate with key stakeholders to deliver relevant insights based on identified business requirements.
- Ability to work independently through unstructured tasks.
- Strong analytical skills, excellent attention to detail, strong interpersonal skills as well as written and verbal communication skills.

Qualifications / Experience

- Strong hands-on experience with Microsoft Power BI, including data modelling, DAX, and report development
- Familiarity with modern Microsoft data platforms, such as Microsoft Fabric and Azure Synapse / Data Lake
- Minimum 2 years’ experience in a data-specific role (e.g. business intelligence, analytics, reporting, or data engineering)
- Tertiary qualification in a relevant field (e.g. Data Analytics, Computer Science, Information Systems) or industry-recognised certification (e.g. Microsoft Certified: Data Analyst Associate)

Highly Desirable

- Exposure to data integration tools (e.g. Azure Data Factory, Power Platform)
- Experience working within government, utilities, or regulated environments
- Understanding of data governance, security models, and self-service BI best practices
- Proficiency in SQL or scripting languages used for data prep and automation
- Strong communication skills and stakeholder engagement experience, especially in cross-functional teams
- NV1 Security Clearance.

About Us

RPS is a market-leading consultancy delivering innovative digital solutions across Australia and beyond. Our Digital team is at the forefront of data transformation, partnering with government and enterprise clients to turn complexity into clarity through meaningful data and actionable insights.

We offer more than just a job, we offer a place to grow, be heard, and make a tangible impact.

What You Can Expect

- Flexible and remote work options to support work–life balance and individual needs
- Competitive salary package aligned to experience and capability
- A genuinely collaborative team culture where curiosity, initiative and innovation are encouraged
- Ongoing professional development, with access to industry leaders, certifications and cross-disciplinary learning
- Opportunities to work on diverse, high-impact projects across digital, infrastructure, sustainability and the built environment
- Involvement in a team actively investing in Microsoft Fabric, AI and modern data platforms as part of its digital evolution

Our Approach 

Our people live our purpose, deliver our promise, and demonstrate our behaviours every day. Our behaviours define who we are. Developed by our people, they underpin everything that we do. They create the memorable experiences we are known for and make RPS a great place to do great work.

Stronger together is one of our five core behaviours and it is key to building a collaborative workplace. We encourage everyone to bring their best and to support others to do the same. By sharing knowledge, challenging each other to think differently, and fostering an environment of trust and respect, our people can learn, grow and thrive – and share in our success.

Recruitment Agencies 

We have a Preferred Supplier List of trusted partners to assist us when required and do not acknowledge any speculative CVs or unsolicited candidate introductions from agencies not on this list. Please refer to the careers page on our website if you require any further information."
120,"Are you a financial professional with a keen eye for cost optimisation and operational efficiency? We’re looking for a Pricing Analyst to play a key role supporting our Palletised and Intermodal and Specialised businesses.

Reporting to the Head of Pricing – you will play a key role in analysing pricing data and delivering customised pricing solutions to better inform customer contract negotiations.

What You’ll Be Doing

- Accountable for driving improved business performance through pricing elements of customer contracts for an assigned Team Global Express portfolio.
- Drive the application of value-based pricing strategies across Team Global Express.
- Work collaboratively across the Sales and Operations community to ensure the profitability of all contracts.
- Establish the most appropriate current and future costs to be used in the assessment of customer contract profitability.
- Ensure integrity of commercial/ standard contract terms associated with price offers.
- Exercise delegations for approval of pricing levels for customer deals including the process for cross business pricing proposals.
- Ensure regular communication with other Pricing & Analytics team members and their key stakeholders to ensure a consistent and profitable overall pricing approach.

What You’ll Bring

- Degree Qualified in either Business, Accounting or Mathematics
- Intermediate to Advanced MS Excel skills (VBA a plus)
- Comfortable working with large volumes of data with some exposure working in a data driven analytics environment
- Analytical and problem-solving skills - required ability to deliver insightful commentary
- Knowledge of yield management, profitability modelling and product performance analysis techniques, ideally in transport, logistics or other network-based businesses; and the use of Customer and Financial data to drive pricing & profit analysis - nice to have...we are willing to train!

About Team Global Express

Team Global Express (TGE) is an Australian-owned transport and logistics business delivering to Australia and New Zealand. We’re not only transforming our operations but striving towards changing the logistics industry and becoming an Environmental, Social, and Governance leader by 2030. To learn more about our story, visit https://teamglobalexp.com/.

Why TGE

We care about our customers, our people, and our planet. We are always innovating and improving our services. We are driven by passion and purpose, and we never stop.

What We Offer

- Competitive salary above industry standards
- Upskilling, training, mentoring and more to support your career development journey
- Fun and practical employee perks and discounts
- Flexible work, including work from home
- Inclusive parental leave policy that supports all parents & carers
- Peer recognition awards acknowledge when you go above and beyond.

An inclusive workplace, works for everyone

We celebrate difference. We are committed to a diverse and inclusive workplace that gives everyone the chance to contribute to a bigger and brighter future with us. As an Equal Opportunity Employer, we welcome and invite applicants of all ages, cultural backgrounds, genders, sexual orientations, people living with disabilities, neurodiverse individuals and Aboriginal and Torres Strait Islander Peoples to apply. Team Global Express acknowledges the Aboriginal and Torres Strait Islander peoples as First Peoples of Australia and the Māori, as tangata whenua and Treaty of Waitangi partners in Aotearoa New Zealand.

Our recruitment process

Applying for a job starts with an online application form, from there you may be invited to complete an online assessment followed by a virtual or in person interview. The last step is undergoing pre-employment checks, which includes a criminal history check and a medical assessment including fitness to work and drug & alcohol screening.

Other Things To Note

- When you apply, please tell us the pronouns you use and any reasonable adjustments you may need during the recruitment process.
- During the recruitment process, please keep an eye on your junk emails and spam folders for updates.
- TGE is listed as one of LinkedIn’s Top Companies of 2023 and 2024 in Australia."
121,"Company Description

WNS (Holdings) Limited (NYSE: WNS), is a leading Business Process Management (BPM) company. We combine our deep industry knowledge with technology and analytics expertise to co-create innovative, digital-led transformational solutions with clients across 10 industries. We enable businesses in Travel, Insurance, Banking and Financial Services, Manufacturing, Retail and Consumer Packaged Goods, Shipping and Logistics, Healthcare, and Utilities to re-imagine their digital future and transform their outcomes with operational excellence.We deliver an entire spectrum of BPM services in finance and accounting, procurement, customer interaction services and human resources leveraging collaborative models that are tailored to address the unique business challenges of each client. We co-create and execute the future vision of 400+ clients with the help of our 44,000+ employees.

Job Description

NA

Qualifications

NA"
122,"Company Introduction

Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark, General Catalyst, Peter Thiel, Adam D'Angelo, Larry Summers, and Jack Dorsey.

Role Overview

- Position: Corporate Finance Expert – Contract, Remote
- Commitment: 10 hours per week, Duration: Minimum four weeks
- Join a leading AI lab to provide expertise in corporate finance. Contribute to impactful AI research projects.

Responsibilities

- Evaluate financial reports and analyses for accuracy and relevance in AI models.
- Design and implement financial evaluation rubrics for AI-generated content.
- Review AI model outputs to ensure alignment with corporate finance principles.
- Collaborate with AI research teams to enhance model performance with finance data.
- Work independently and asynchronously to meet project deadlines and improve AI model accuracy.

Requirements / Qualifications

Must-Have Qualifications

- At least 2 years of experience in corporate finance
- Expertise in financial reporting or financial analysis

Engagement Details

- $100/hour compensation
- Fully asynchronous work schedule
- At-will contractor status
- Payment via Stripe Connect weekly

Application Process (Takes 20-30 mins to complete)

- Upload resume
- AI interview based on your resume
- Submit form

Resources & Support

- For details about the interview process and platform information, please check: https://talent.docs.mercor.com/welcome/welcome
- For any help or support, reach out to: support@mercor.com

PS: Our team reviews applications daily. Please complete your AI interview and application steps to be considered for this opportunity."
123,"Company Description

WNS (Holdings) Limited (NYSE: WNS), is a leading Business Process Management (BPM) company. We combine our deep industry knowledge with technology and analytics expertise to co-create innovative, digital-led transformational solutions with clients across 10 industries. We enable businesses in Travel, Insurance, Banking and Financial Services, Manufacturing, Retail and Consumer Packaged Goods, Shipping and Logistics, Healthcare, and Utilities to re-imagine their digital future and transform their outcomes with operational excellence.We deliver an entire spectrum of BPM services in finance and accounting, procurement, customer interaction services and human resources leveraging collaborative models that are tailored to address the unique business challenges of each client. We co-create and execute the future vision of 400+ clients with the help of our 44,000+ employees.

Job Description

NA

Qualifications

NA"
124,"If you want to be a part of Australia’s NEWEST and most exciting fashion Jewellery brand and want to take the next step in your career HARLI + HARPA might be just what you are looking for. HARLI + HARPA have opened over 35 stores across Australia and South Africa since November 2024 and continue to expand.We are currently looking for an Information Technology Support Analyst that has an interest and experience in retail.
Overview
The Information Technology Support Analyst role is responsible for delivering and maintaining high-quality IT solutions across our store network and Support Centre. This position plays a critical role in the setup of new stores, managing core business systems, and providing technical support to ensure smooth operations nationwide and internationally.
You will work closely with internal stakeholders, vendors and the Store Development team to ensure new store builds are delivered on time and to standard, while also supporting ongoing IT operations and projects.
Key Responsibilities
Service Desk & Support
- Provide first and second-level support for store and head office IT issues.
- Manage incoming support requests via Zendesk, escalating where necessary.
- Handle urgent escalation calls from retail store managers and regional.
- Deliver remote and on-site troubleshooting, ensuring minimal downtime.
- Maintaining and improving the support network/ ProcessesStore Development & Implementation
- Plan, configure, and deploy IT infrastructure for new store openings across Australia and South Africa.
- Coordinate with suppliers, contractors, and internal teams to deliver end-to-end IT solutions for each store build.
- Manage the standard 4-week store build cycle, averaging one store opening per week.
- Identify and implement improvements to store IT build processes.
- Maintain strong supplier/vendor relationships to ensure timely delivery and support.Systems Engineering & Administration
- Manage and maintain Retail Directions systems, including RMS, SMS, and SMS mobile.
- Oversee RMS database administration, including data manipulation and integrity.
- Administer Microsoft 365, including Azure AD, Defender, and Intune.
- Maintain other core platforms such as Zendesk, Deputy, and TeamViewer.
- Perform system updates, configuration changes, and ongoing maintenance to ensure reliability and security.Projects & Continuous Improvement
- Contribute to IT-related projects, from planning to implementation.
- Analyse current processes and recommend solutions to improve efficiency and service delivery.
- Keep up to date with emerging technologies relevant to retail IT infrastructure.Key Requirements
- In-office attendance is required daily.
- Ability to travel to store locations as needed.
- Willingness to perform occasional after-hours and weekend work for store launches and urgent support.Skills & Experience
- Strong technical knowledge of retail IT systems, infrastructure, and POS solutions.
- Experience in supplier and vendor management.
- Proficiency in Microsoft 365 (Azure, Intune, Defender) and enterprise IT tools.
- Solid troubleshooting and problem-solving skills.
- Strong organisational and process management abilities.
- Excellent communication and interpersonal skills for working across teams and with external partners.Benefits
- 50% off HARLI + HARPA product
- Quarterly product allowance
Find out more about HARLI + HARPA by checking out our Instagram @harliandharpa and website harliandharpa.com"
125,"Do you have a desire to make a positive impact on the climate and biodiversity crises by working with an innovative global think tank? If so, we want to hear from you!

InfluenceMap is best known for its LobbyMap platform, which analyzes corporate advocacy and policy engagement activities related to climate change and biodiversity loss. Our work has been featured in the media globally, used by hundreds of investors, and informed numerous climate campaigns. Other work streams include the FinanceMap platform, which assesses the climate credentials of the financial sector, and the Carbon Majors platform, which tracks emissions from the world's largest polluters. With offices in London, New York, Tokyo, Seoul, Canberra, and Brussels, this is an opportunity to be part of a team of 70+ friendly and dynamic professionals and to help shape our culture as we continue to grow and evolve as an organization. You will also have the chance to work with our global network of partners to help develop and share our cutting-edge content.

We are seeking an Analyst to join our team who will be responsible for assessing companies on their climate change and/or biodiversity loss policies. This is an entry-level analyst position that is likely to suit someone starting their career. You will be working on the LobbyMap workstream. By mastering our methodology and processes, you will have the opportunity to specialize in corporate climate policy engagement in China.

Full training in our research methods and how to effectively communicate our results will be provided. Upon demonstrating your ability in this specialization, you may also have the opportunity to develop expertise in other areas, such as specific sectors, policy areas, or geographic regions, in line with the organization's project needs. Our approach is highly data-driven and emphasizes accuracy, consistency, and meticulous attention to detail. InfluenceMap's work is in widespread use by finance, the media, and other stakeholders; thus, we place great importance on the ability to communicate our content (both written and verbal) effectively.

Requirements

To be successful in this role at InfluenceMap, you should have:

- Native Chinese reading, writing, and speaking skills (Simplified Chinese essential, Traditional Chinese preferred)
- Fluency in English (written and spoken) 
- Outstanding analytical and data analysis skills, with a very strong attention to detail 
- Ability to communicate complex issues and data-driven analysis convincingly
- IT and software skills across a range of standard applications
- Right to work in Japan or Australia. 

We are an enthusiastic, highly motivated, mission-aligned team. We are seeking a candidate with a similar outlook.

Benefits

Details of Benefits:

- This is a full-time position
- Location: This position could be based in Japan or Australia. We have offices in Tokyo and Canberra, where flexible and hybrid working arrangements are possible.
- Competitive salary 
- Generous annual leave package 
- Extra three paid days, organization-wide closure at the end of the calendar year
- InfluenceMap provides all statutory benefits as part of its employment package.
- Frequent interactions with a dynamic and global, mission-driven team! 

If you are excited about this role but your experience does not perfectly align with every qualification in the job description, we encourage you to apply anyway. You may be the right candidate for this role or have transferable skills that would be valuable in other areas of our team.

Please apply via the link below and submit your application by October 20, 2025. Early applications are welcome and will be processed as they arrive."
126,"As a Finance Analyst you play a pivotal role in ensuring the accuracy and integrity of Telstra's financial reporting, to enable effective decision-making by wider business and finance stakeholders through delivering timely and insightful analysis.

You will leverage your critical and analytical thinking capabilities to reimagine existing accounting and assurance processes; challenge the status quo to innovate and utilise tools the improve our operational efficiency.

You will act as a business partner to collaborate with our internal and external business, IT and finance stakeholders to improve transparency and uplift self-serve capabilities.

Key responsibilities of your role:

- Monthly accounting and assurance reporting and analysis: completion of P&L and Balance Sheet assurance activities including producing timely, relevant and accurate reporting and analysis to proactively manage financials; balance sheet reconciliations and open item management, with a focus to insights into actions
- Monthly GST / BAS reporting, analysis and reconciliation: support Telstra's monthly BAS submission to the ATO including review of revenue, expense and subsidiary transactions to ensure accurate reporting and compliance with relevant Taxation Laws; proactively manage manual adjustments and open item management, with a focus on increasing assurance and control environment uplift
- End-to-end management of Lease Accounting: lead the record to report process of non-property lease accounting across Telstra, owning Telstra's lease management tool, and working across multiple business units, working with onshore finance stakeholders and offshore partners and conducting exception analysis to produce timely, relevant and accurate reporting and analysis
- Strategic / Operational initiatives: support various strategic and operational initiatives (e.g. reconciliation uplift and Blackline automation)
- Stakeholder Collaboration: partner with various stakeholders including offshore partners, finance and IT to ensure alignment and provide financial/accounting support for projects and ongoing financial management
- Compliance and Governance: support audit and governance related activities. Ensure that all accounting practices comply with relevant laws, regulations, and internal policies, maintaining strong internal controls and governance.To be successful in the role, you should have:
- Collaboration, business partnering and stakeholder management
- In-depth technical accounting and tax experience, including knowledge of accounting principles and practices ·
- Experience in financial systems and IT tools/processes to opticpamise data analysis, transformation and reporting
- Knowledge of controls, QA and governance frameworks
- Continuous improvement mindset
- Hold a Degree in Accounting
- Chartered Accountants or Certified Public Accountant and preferred Big 4 or mid-tier accounting/audit experienceWe fully embrace flexibility and choice at Telstra and it's as unique as you. We believe every role can flex in some way and encourage you to work where, when, and how you are most engaged, safe, and productive. Talk to us about how a role could be flexible for you!

If this opportunity sounds like a perfect fit for you, we'd encourage you to apply!

____________________________

We're committed to building a diverse and inclusive workforce in all its forms. We encourage applicants from diverse gender, cultural and linguistic backgrounds and applicants who may be living with a disability. We also offer flexibility in all our roles, to ensure everyone can participate.

To learn more about how we support our people, including accessibility adjustments we can provide you through the recruitment process, visit tel.st/thrive."
